State,Population
alabama,5024279
alaska,733391
arizona,7151502
arkansas,3011524
california,39538223
colorado,5773714
connecticut,3605944
delaware,989948
florida,21538187
georgia,10711908
hawaii,1455271
idaho,1839106
illinois,12812508
indiana,6785528
iowa,3190369
kansas,2937880
kentucky,4505836
louisiana,4657757
maine,1362359
maryland,6177224
massachusetts,7029917
michigan,10077331
minnesota,5706494
mississippi,2961279
missouri,6154913
montana,1084225
nebraska,1961504
nevada,3104614
new hampshire,1377529
new jersey,9288994
new mexico,2117522
new york,20201249
north carolina,10439388
north dakota,779094
ohio,11799448
oklahoma,3959353
oregon,4237256
pennsylvania,13002700
rhode island,1097379
south carolina,5118425
south dakota,886667
tennessee,6910840
texas,29145505
utah,3271616
vermont,643077
virginia,8631393
washington,7693612
west virginia,1793716
wisconsin,5893718
wyoming,576851
